"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y"
"485","Golden State Warriors","12/13/16",2016,3,11,15,"y","Jump Shot","2PT Field Goal",11,"New Orleans Pelicans",64,92
"486","Golden State Warriors","12/13/16",2016,3,7,3,"y","Jump Shot","3PT Field Goal",25,"New Orleans Pelicans",-187,178
"487","Golden State Warriors","12/25/16",2016,1,6,44,"n","Jump Shot","3PT Field Goal",24,"Cleveland Cavaliers",-243,41
"488","Golden State Warriors","12/25/16",2016,3,11,33,"y","Jump Shot","3PT Field Goal",27,"Cleveland Cavaliers",-214,169
"489","Golden State Warriors","12/7/16",2016,2,3,2,"n","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",76,247
"490","Golden State Warriors","2/2/17",2016,1,9,28,"n","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",20,252
"491","Golden State Warriors","2/2/17",2016,3,5,43,"n","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",-137,228
"492","Golden State Warriors","2/2/17",2016,1,3,7,"n","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",176,198
"493","Golden State Warriors","12/25/16",2016,4,5,20,"n","Jump Shot","3PT Field Goal",26,"Cleveland Cavaliers",-227,146
"494","Golden State Warriors","2/2/17",2016,2,1,57,"y","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",122,232
"495","Golden State Warriors","2/2/17",2016,4,7,12,"n","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",114,239
"496","Golden State Warriors","2/2/17",2016,4,8,6,"n","Jump Shot","2PT Field Goal",10,"Los Angeles Clippers",102,11
"497","Golden State Warriors","2/2/17",2016,4,1,35,"y","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",-81,242
"498","Golden State Warriors","11/21/16",2016,3,1,44,"n","Jump Shot","3PT Field Goal",27,"Indiana Pacers",0,272
"499","Golden State Warriors","11/21/16",2016,3,11,2,"n","Jump Shot","3PT Field Goal",28,"Indiana Pacers",233,164
"500","Golden State Warriors","11/21/16",2016,2,1,34,"y","Jump Shot","3PT Field Goal",26,"Indiana Pacers",159,208
"501","Golden State Warriors","12/7/16",2016,1,10,46,"n","Jump Shot","3PT Field Goal",28,"Los Angeles Clippers",-189,210
"502","Golden State Warriors","12/7/16",2016,1,10,23,"n","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",12,262
"503","Golden State Warriors","12/7/16",2016,2,11,22,"n","Jump Shot","2PT Field Goal",6,"Los Angeles Clippers",-14,65
"504","Golden State Warriors","12/7/16",2016,3,11,2,"n","Jump Shot","2PT Field Goal",18,"Los Angeles Clippers",-120,146
"505","Golden State Warriors","12/7/16",2016,3,6,26,"y","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",-7,262
"506","Golden State Warriors","11/25/16",2016,2,8,8,"n","Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",147,202
