"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y"
"575","Golden State Warriors","11/16/16",2016,1,11,22,"n","Jump Shot","3PT Field Goal",25,"Toronto Raptors",222,115
"576","Golden State Warriors","11/16/16",2016,3,8,55,"n","Jump Shot","3PT Field Goal",23,"Toronto Raptors",232,26
"577","Golden State Warriors","11/16/16",2016,3,5,48,"y","Jump Shot","3PT Field Goal",26,"Toronto Raptors",230,134
"578","Golden State Warriors","11/16/16",2016,2,9,11,"n","Jump Shot","3PT Field Goal",25,"Toronto Raptors",212,149
"579","Golden State Warriors","11/16/16",2016,3,9,7,"n","Jump Shot","3PT Field Goal",27,"Toronto Raptors",-219,159
"580","Golden State Warriors","11/16/16",2016,3,4,46,"n","Jump Shot","3PT Field Goal",23,"Toronto Raptors",230,7
"581","Golden State Warriors","11/16/16",2016,1,6,45,"n","Jump Shot","3PT Field Goal",22,"Toronto Raptors",-228,2
"582","Golden State Warriors","11/16/16",2016,3,4,53,"n","Jump Shot","2PT Field Goal",4,"Toronto Raptors",43,16
"583","Golden State Warriors","11/16/16",2016,1,4,3,"n","Jump Shot","3PT Field Goal",22,"Toronto Raptors",227,-6
"584","Golden State Warriors","11/16/16",2016,3,9,49,"n","Jump Shot","3PT Field Goal",26,"Toronto Raptors",112,237
"585","Golden State Warriors","11/21/16",2016,1,5,24,"n","Jump Shot","3PT Field Goal",23,"Indiana Pacers",230,-15
"586","Golden State Warriors","11/21/16",2016,2,1,6,"n","Jump Shot","2PT Field Goal",17,"Indiana Pacers",-171,-19
"587","Golden State Warriors","11/21/16",2016,3,10,24,"y","Jump Shot","3PT Field Goal",24,"Indiana Pacers",-248,-21
"588","Golden State Warriors","2/27/17",2016,4,9,14,"y","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",213,129
"589","Golden State Warriors","1/20/17",2016,2,7,51,"n","Jump Shot","3PT Field Goal",26,"Houston Rockets",-120,237
"590","Golden State Warriors","1/20/17",2016,2,3,6,"n","Jump Shot","3PT Field Goal",24,"Houston Rockets",241,47
"591","Golden State Warriors","1/20/17",2016,2,7,22,"y","Jump Shot","3PT Field Goal",24,"Houston Rockets",240,23
"592","Golden State Warriors","1/20/17",2016,3,4,44,"y","Jump Shot","3PT Field Goal",23,"Houston Rockets",233,31
"593","Golden State Warriors","1/20/17",2016,1,9,16,"n","Jump Shot","2PT Field Goal",3,"Houston Rockets",30,23
"594","Golden State Warriors","1/20/17",2016,2,0,47,"n","Jump Shot","2PT Field Goal",7,"Houston Rockets",-7,75
"595","Golden State Warriors","1/20/17",2016,2,1,45,"n","Jump Shot","3PT Field Goal",25,"Houston Rockets",210,139
"596","Golden State Warriors","2/28/17",2016,1,6,15,"y","Jump Shot","3PT Field Goal",23,"Washington Wizards",235,31
"597","Golden State Warriors","2/28/17",2016,1,5,59,"n","Jump Shot","3PT Field Goal",28,"Washington Wizards",192,213
"598","Golden State Warriors","1/2/17",2016,3,4,6,"n","Jump Shot","2PT Field Goal",13,"Denver Nuggets",60,124
"599","Golden State Warriors","1/2/17",2016,4,5,4,"y","Jump Shot","2PT Field Goal",15,"Denver Nuggets",0,159
"600","Golden State Warriors","1/2/17",2016,4,1,16,"n","Jump Shot","2PT Field Goal",22,"Denver Nuggets",-156,169
"601","Golden State Warriors","1/2/17",2016,3,6,13,"n","Jump Shot","3PT Field Goal",23,"Denver Nuggets",232,61
"602","Golden State Warriors","1/2/17",2016,2,4,27,"n","Jump Shot","2PT Field Goal",8,"Denver Nuggets",-61,61
"603","Golden State Warriors","1/2/17",2016,1,9,24,"n","Jump Shot","3PT Field Goal",25,"Denver Nuggets",107,232
"604","Golden State Warriors","1/2/17",2016,1,6,52,"n","Jump Shot","2PT Field Goal",18,"Denver Nuggets",148,110
"605","Golden State Warriors","1/28/17",2016,1,7,9,"n","Jump Shot","2PT Field Goal",18,"Los Angeles Clippers",4,185
"606","Golden State Warriors","2/28/17",2016,4,3,7,"n","Jump Shot","3PT Field Goal",27,"Washington Wizards",199,183
"607","Golden State Warriors","1/28/17",2016,2,8,30,"y","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",151,214
"608","Golden State Warriors","1/28/17",2016,3,8,48,"n","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",119,237
"609","Golden State Warriors","1/28/17",2016,3,10,51,"y","Jump Shot","2PT Field Goal",17,"Los Angeles Clippers",-150,90
"610","Golden State Warriors","1/28/17",2016,2,1,34,"y","Jump Shot","3PT Field Goal",22,"Los Angeles Clippers",-227,21
"611","Golden State Warriors","1/28/17",2016,2,7,58,"n","Jump Shot","2PT Field Goal",14,"Los Angeles Clippers",100,100
"612","Golden State Warriors","2/27/17",2016,2,11,8,"y","Jump Shot","3PT Field Goal",26,"Philadelphia 76ers",-223,144
"613","Golden State Warriors","2/27/17",2016,3,5,34,"n","Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",4,254
"614","Golden State Warriors","2/27/17",2016,4,6,56,"n","Jump Shot","2PT Field Goal",7,"Philadelphia 76ers",-74,-16
"615","Golden State Warriors","2/27/17",2016,2,0,6,"n","Jump Shot","3PT Field Goal",26,"Philadelphia 76ers",151,218
"616","Golden State Warriors","2/27/17",2016,1,11,40,"n","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",-248,31
"617","Golden State Warriors","2/27/17",2016,4,9,58,"n","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",245,2
"618","Golden State Warriors","2/27/17",2016,2,0,45,"n","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",240,33
"619","Golden State Warriors","2/27/17",2016,1,4,46,"n","Jump Shot","2PT Field Goal",20,"Philadelphia 76ers",204,-19
"620","Golden State Warriors","2/28/17",2016,4,0,1,"n","Jump Shot","3PT Field Goal",25,"Washington Wizards",-210,146
"621","Golden State Warriors","3/16/17",2016,4,10,54,"n","Jump Shot","2PT Field Goal",10,"Orlando Magic",42,95
"622","Golden State Warriors","3/16/17",2016,2,2,37,"n","Jump Shot","3PT Field Goal",28,"Orlando Magic",89,272
"623","Golden State Warriors","3/16/17",2016,1,3,24,"y","Jump Shot","3PT Field Goal",26,"Orlando Magic",132,228
"624","Golden State Warriors","3/16/17",2016,3,10,5,"y","Jump Shot","2PT Field Goal",12,"Orlando Magic",-60,110
"625","Golden State Warriors","3/16/17",2016,3,9,14,"n","Jump Shot","3PT Field Goal",23,"Orlando Magic",-233,7
"626","Golden State Warriors","3/16/17",2016,1,11,22,"y","Jump Shot","3PT Field Goal",24,"Orlando Magic",125,208
"627","Golden State Warriors","3/16/17",2016,2,4,12,"y","Jump Shot","2PT Field Goal",21,"Orlando Magic",89,193
"628","Golden State Warriors","3/16/17",2016,1,8,53,"y","Jump Shot","2PT Field Goal",9,"Orlando Magic",12,95
"629","Golden State Warriors","3/16/17",2016,1,2,42,"n","Jump Shot","3PT Field Goal",25,"Orlando Magic",-1,252
"630","Golden State Warriors","3/16/17",2016,2,6,19,"y","Jump Shot","2PT Field Goal",12,"Orlando Magic",-7,121
"631","Golden State Warriors","3/16/17",2016,2,2,16,"n","Jump Shot","2PT Field Goal",5,"Orlando Magic",22,51
"632","Golden State Warriors","2/28/17",2016,4,7,39,"n","Jump Shot","2PT Field Goal",14,"Washington Wizards",-32,144
"633","Golden State Warriors","11/4/16",2016,4,9,24,"n","Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",-176,183
"634","Golden State Warriors","2/10/17",2016,3,5,46,"y","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",220,129
"635","Golden State Warriors","2/10/17",2016,4,11,43,"y","Jump Shot","2PT Field Goal",20,"Memphis Grizzlies",-2,203
"636","Golden State Warriors","2/28/17",2016,1,7,9,"y","Jump Shot","3PT Field Goal",25,"Washington Wizards",-104,237
"637","Golden State Warriors","2/28/17",2016,3,11,22,"n","Jump Shot","3PT Field Goal",23,"Washington Wizards",233,46
